date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:44:00	4894/4894	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2008%20Jul%202022%2019:44:01%20GMT	https://adoptmetradingvalues.com/robots.txt		(from )
15:44:00	314850/314850	---MCZ	200	added ('OK')	text/html	date:Fri,%2008%20Jul%202022%2019:44:01%20GMT	https://adoptmetradingvalues.com/	C:/My%20Web%20Sites/Adopt%20me/adoptmetradingvalues.com/index.html	(from )
15:44:01	4795/4795	---M--	200	added ('OK')	image/png	date:Fri,%2019%20Mar%202021%2020:16:55%20GMT	https://adoptmetradingvalues.com/images/blank.png	C:/My%20Web%20Sites/Adopt%20me/adoptmetradingvalues.com/images/blank.png	(from https://adoptmetradingvalues.com/)
15:44:01	13477/13477	---M--	200	added ('OK')	image/png	date:Fri,%2019%20Mar%202021%2020:09:37%20GMT	https://adoptmetradingvalues.com/images/add.png	C:/My%20Web%20Sites/Adopt%20me/adoptmetradingvalues.com/images/add.png	(from https://adoptmetradingvalues.com/)
15:44:01	1875/1875	---M--	200	added ('OK')	image/png	date:Thu,%2024%20Jun%202021%2017:49:27%20GMT	https://adoptmetradingvalues.com/favicon.png	C:/My%20Web%20Sites/Adopt%20me/adoptmetradingvalues.com/favicon.png	(from https://adoptmetradingvalues.com/)
15:44:02	167020/167020	---MC-	200	added ('OK')	text/javascript	date:Fri,%2008%20Jul%202022%2019:44:02%20GMT	https://pagead2.googlesyndication.com/pagead/js/adsbygoogle.js	C:/My%20Web%20Sites/Adopt%20me/pagead2.googlesyndication.com/pagead/js/f.txt	(from https://adoptmetradingvalues.com/)
15:44:02	4824/4824	---MCZ	200	added ('OK')	text/css	date:Sat,%2031%20Jul%202021%2022:21:13%20GMT	https://adoptmetradingvalues.com/styles.css	C:/My%20Web%20Sites/Adopt%20me/adoptmetradingvalues.com/styles.css	(from https://adoptmetradingvalues.com/)
15:44:02	8895/8895	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2030%20Mar%202022%2015:45:08%20GMT	https://adoptmetradingvalues.com/scripts.js	C:/My%20Web%20Sites/Adopt%20me/adoptmetradingvalues.com/scripts.js	(from https://adoptmetradingvalues.com/)
15:44:03	9559/9559	---MCZ	200	added ('OK')	text/html	date:Fri,%2008%20Jul%202022%2019:44:03%20GMT	https://adoptmetradingvalues.com/register.php	C:/My%20Web%20Sites/Adopt%20me/adoptmetradingvalues.com/register.html	(from https://adoptmetradingvalues.com/)
15:44:03	6325/6325	---M--	200	added ('OK')	image/png	date:Tue,%2029%20Jun%202021%2000:58:31%20GMT	https://adoptmetradingvalues.com/images/help.png	C:/My%20Web%20Sites/Adopt%20me/adoptmetradingvalues.com/images/help.png	(from https://adoptmetradingvalues.com/)
15:44:03	3485/3485	---M--	200	added ('OK')	image/png	date:Mon,%2002%20Aug%202021%2021:22:25%20GMT	https://adoptmetradingvalues.com/username.png	C:/My%20Web%20Sites/Adopt%20me/adoptmetradingvalues.com/username.png	(from https://adoptmetradingvalues.com/)
15:44:03	5240/5240	---M--	200	added ('OK')	image/png	date:Mon,%2002%20Aug%202021%2021:25:58%20GMT	https://adoptmetradingvalues.com/password.png	C:/My%20Web%20Sites/Adopt%20me/adoptmetradingvalues.com/password.png	(from https://adoptmetradingvalues.com/)
